标题,小区,区域,售价,单价,户型,面积,朝向,装修,楼层,年份,建筑类型,详情页
新华联电梯洋房  精装修从未入住,新华联梦想城 ,金星北,132,9817,4室2厅,134.47,南 北,精装,11层 ,,板楼,https://cs.lianjia.com/ershoufang/104111757470.html
汽车南站，地铁口，天虹商场旁，带露台2＋1户型,丰园城 ,德思勤,75.8,7910,3室2厅,95.83,南 北,精装,低楼层(共11层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112173696.html
千米楼间距、推窗可俯视群山、装修有品的小三房,博长山水香颐 ,万家丽南路,89,10394,3室2厅,85.63,南,精装,中楼层(共31层),2014年,塔楼,https://cs.lianjia.com/ershoufang/104110669732.html
自住精装小三房急售 急售 满五唯一  出价就谈,星语林汀湘十里 ,含浦,62,6851,3室2厅,90.51,东南,精装,中楼层(共18层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111570912.html
满5唯1好楼层一线湖景好房诚心出售,牡丹舸 ,梅溪湖北岸,307,21493,3室2厅,142.84,南,简装,高楼层(共38层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104113295253.html
嘉宇银杉，地铁口，南北通透自住精装3房，拎包入住,嘉宇银杉 ,金星北,102,10229,3室2厅,99.72,南 北,其他,低楼层(共33层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104113340278.html
诚心出售，中间楼层，南北通透，采光好,五矿万境蓝山 ,省政府,125,10091,3室1厅,123.88,南 北,其他,中楼层(共20层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113355775.html
翡翠云天 地铁口 精装三房 拎包入住,翡翠云天 ,万家丽南路,76,7642,3室1厅,99.46,南 北,精装,低楼层(共18层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111566461.html
满五唯一，一线湖景，视野开阔，房东诚心出售,富基世纪公园 ,金星北,82,7580,3室1厅,108.19,北,精装,低楼层(共33层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104112820944.html
全江景视野，自住装修，户型周正，全高档家电,香江锦城 ,伍家岭,115,13371,2室1厅,86.01,南,其他,中楼层(共33层),2012年,板塔结合,https://cs.lianjia.com/ershoufang/104112483043.html
业主精装修，带全套家具家电，中间楼层，诚意出售..,钰龙天下二期 ,观沙岭,20,5187,1室1厅,38.56,北,精装,中楼层(共33层),2014年,板楼,https://cs.lianjia.com/ershoufang/104113662488.html
精装二房，位子安静，环境好，配套成熟,九龙领仕汇 ,岳麓其他,48,6312,2室2厅,76.05,南,精装,高楼层(共18层) ,,塔楼,https://cs.lianjia.com/ershoufang/104112700355.html
二期全新准现房，112平复式4房，安静，楼间距宽敞,越秀湘江星汇城 ,金星北,115,10304,4室2厅,111.61,南,毛坯,中楼层(共31层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104112480886.html
雨花亭 第六都小户型 砂子塘可用 精装 诚心出售,第六都 ,雨花亭,46,10000,1室1厅,46,南,精装,低楼层(共31层),2017年,板楼,https://cs.lianjia.com/ershoufang/104113278076.html
大三房 业主自住装修 业主诚心出售.,鑫苑名家 ,东方红,140,13094,3室1厅,106.92,南,精装,高楼层(共33层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104111783130.html
满五唯一，贺龙体育广场，配套齐全，交通方便,建设医院宿舍 ,东塘,49,6987,2室2厅,70.14,南,简装,中楼层(共7层) ,,板楼,https://cs.lianjia.com/ershoufang/104113127506.html
天麓5期精装五房，点石装修拎包入住，满五唯一视野好,天麓尚层 ,雷锋大道,128,8971,5室2厅,142.69,东南,精装,中楼层(共34层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104112344175.html
满五唯一楼栋位置好次新小区浏阳河园林,阳光城尚东湾青云苑 ,武广新城,125,10062,3室2厅,124.24,南 北,毛坯,中楼层(共28层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104112963080.html
住宅70年产权，满五唯一，近地铁，近泰禹,新里程潇湘名城 ,武广新城,51.5,7410,2室1厅,69.51,南,其他,高楼层(共21层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104113728337.html
汽车南站，近地铁，近天虹卓越蔚蓝城邦,卓越蔚蓝城邦 ,德思勤,99.8,9674,3室2厅,103.17,南,精装,中楼层(共27层),2017年,塔楼,https://cs.lianjia.com/ershoufang/104111815452.html
汽车南站，地铁口，天虹商场旁，带露台2＋1户型,丰园城 ,德思勤,75.8,7910,3室2厅,95.83,南 北,精装,低楼层(共11层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112173696.html
千米楼间距、推窗可俯视群山、装修有品的小三房,博长山水香颐 ,万家丽南路,89,10394,3室2厅,85.63,南,精装,中楼层(共31层),2014年,塔楼,https://cs.lianjia.com/ershoufang/104110669732.html
中建嘉和城 3室2厅 南 北,中建嘉和城 ,万家丽南路,112,9489,3室2厅,118.04,南 北,毛坯,高楼层(共33层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111679355.html
三房中上楼层光照好长塘里崇德雨花新华,阳光城尚东湾蓝莓苑 ,武广新城,121,11009,3室2厅,109.92,南,其他,中楼层(共31层),2020年,塔楼,https://cs.lianjia.com/ershoufang/104113256831.html
两梯两户板楼  自住装修 小区中间位置 可随时看房,英郡年华 ,树木岭,122,9981,3室2厅,122.24,南,精装,高楼层(共17层),2012年,板楼,https://cs.lianjia.com/ershoufang/104108539848.html
小区中间6栋的毛坯房，一路之隔就是上学，视野无遮挡,黎郡新宇熙春园 ,武广新城,55,6781,2室2厅,81.12,南,其他,中楼层(共26层) ,,板楼,https://cs.lianjia.com/ershoufang/104113025307.html
融科品质楼盘，砂子塘陪读好房，自住精装修,融科三万英尺 ,雨花亭,54,10086,1室1厅,53.54,南,其他,中楼层(共33层),2006年,塔楼,https://cs.lianjia.com/ershoufang/104113288513.html
次新小区，大两房，户型端正，无遮挡，出行方便,德茂公寓 ,韶山南路,77,8432,2室2厅,91.32,南,精装,中楼层(共33层),2015年,塔楼,https://cs.lianjia.com/ershoufang/104110304833.html
满五唯一，贺龙体育广场，配套齐全，交通方便,建设医院宿舍 ,东塘,49,6987,2室2厅,70.14,南,简装,中楼层(共7层) ,,板楼,https://cs.lianjia.com/ershoufang/104113127506.html
汽车南校园旁新小区，配套完善三房两卫无遮挡，随时看,西湖鸿运佳苑 ,德思勤,85,7985,3室2厅,106.45,南,毛坯,中楼层(共23层),2020年,板塔结合,https://cs.lianjia.com/ershoufang/104112227239.html
满五唯一楼栋位置好次新小区浏阳河园林,阳光城尚东湾青云苑 ,武广新城,125,10062,3室2厅,124.24,南 北,毛坯,中楼层(共28层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104112963080.html
自住精装，广电单位房，南北朝向，地铁口，枫树山,长房南屏锦源 ,万家丽南路,85,9569,3室2厅,88.83,南,简装,高楼层(共18层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104113670099.html
双地铁口物业，正规一室，诚心出售，随时看房,西子一间 ,高桥,36.8,6483,1室2厅,56.77,南,其他,28层,2011年,塔楼,https://cs.lianjia.com/ershoufang/104113449932.html
翡翠云天 地铁口 精装三房 拎包入住,翡翠云天 ,万家丽南路,76,7642,3室1厅,99.46,南 北,精装,低楼层(共18层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111566461.html
雨花亭 第六都小户型 砂子塘可用 精装 诚心出售,第六都 ,雨花亭,46,10000,1室1厅,46,南,精装,低楼层(共31层),2017年,板楼,https://cs.lianjia.com/ershoufang/104113278076.html
地铁口，70年产权公寓民用水电，带枫树山,融科檀香山 ,武广新城,38,7479,1室1厅,50.81,南,精装,高楼层(共33层),2011年,塔楼,https://cs.lianjia.com/ershoufang/104113559112.html
建发中央公园二期  毛坯3房出售,建发中央公园 ,雨花亭,143,14520,3室2厅,98.49,南,毛坯,低楼层(共33层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104109876370.html
此房格局好，视野宽阔，采光充足，精装拎包入住,天晟海拔东方 ,武广新城,118.8,9314,3室2厅,127.56,南 北,精装,低楼层(共32层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104113128328.html
旭辉雨花郡 圭塘地铁口 4.5号线换乘站 精装未入住,旭辉雨花郡 ,树木岭,172.5,15000,3室2厅,115,南 北,其他,中楼层(共34层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113358069.html
视野宽阔，采光充足，精装拎包入住,天晟海拔东方 ,武广新城,125,9811,3室2厅,127.42,南 北,毛坯,高楼层(共18层),2021年,板塔结合,https://cs.lianjia.com/ershoufang/104113188855.html
喜盈门次新小区 幸福满庭 四房出售 满五唯一,蓝光幸福满庭 ,喜盈门,115,12426,4室2厅,92.55,南 北,毛坯,高楼层(共33层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104111659901.html
次新小区大平层  中间楼层 户型周正,长房东旭国际 ,武广新城,234,12202,5室2厅,191.78,南,毛坯,高楼层(共33层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112037413.html
毛坯小3房，满为唯一，人车分流，交通便利,合能枫丹丽舍 ,万家丽南路,97,9711,3室2厅,99.89,南,毛坯,中楼层(共34层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104111790121.html
次新小区  精装交付   随时可看房,阳光城尚东湾 ,武广新城,133,10025,4室1厅,132.68,南 北,精装,低楼层(共28层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113662590.html
次新小区，全新装修，天虹旁，中石油单位房,西湖鸿运佳苑 ,德思勤,118,9765,3室2厅,120.84,南,精装,低楼层(共29层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113067143.html
树木岭成熟地段！木桥地铁站旁！满五唯一！产证在手！,五江天街 ,树木岭,132,10414,3室2厅,126.76,南,精装,中楼层(共31层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104113111960.html
德思勤商圈女子大学旁，7号线地铁口精装一房,亚商国际 ,德思勤,27,6183,1室1厅,43.67,北,精装,中楼层(共28层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104112865777.html
精装修电梯房  看房随时可以看 有钥匙,枫景园 ,德思勤,101,6714,4室1厅,150.45,南,精装,低楼层(共7层),2008年,板楼,https://cs.lianjia.com/ershoufang/104112932758.html
户型周正，楼层好，带精装，拎包入住，随时看房,德润园 ,观沙岭,51,7264,1室1厅,70.21,北,其他,中楼层(共18层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112828937.html
洋湖和园（二期）宜家荟聚 洋湖湿地站 户型朝南,洋湖和园 ,洋湖垸,63.8,8300,2室2厅,76.87,南,精装,中楼层(共28层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112995026.html
水郡四房清水毛坯，可看江。诚心出售,湘熙水郡 ,洋湖垸,171,13180,4室2厅,129.75,南,其他,低楼层(共27层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104112362797.html
小高层电梯房，一梯两户低密度，居住环境舒适,润芳园小区 ,东方红,75,8178,3室2厅,91.72,南,简装,17层 ,,板塔结合,https://cs.lianjia.com/ershoufang/104110468778.html
麓谷公园一房一厅复式楼，公园旁地铁口！,金荣央谷金座 ,麓谷东,29.8,6483,1室1厅,45.97,南,简装,中楼层(共5层),2012年,板楼,https://cs.lianjia.com/ershoufang/104111597568.html
自住精装小三房急售 急售 满五唯一  出价就谈,星语林汀湘十里 ,含浦,62,6851,3室2厅,90.51,东南,精装,中楼层(共18层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111570912.html
满5唯1好楼层一线湖景好房诚心出售,牡丹舸 ,梅溪湖北岸,307,21493,3室2厅,142.84,南,简装,高楼层(共38层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104113295253.html
大三房 业主自住装修 业主诚心出售.,鑫苑名家 ,东方红,140,13094,3室1厅,106.92,南,精装,高楼层(共33层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104111783130.html
业主精装修，带全套家具家电，中间楼层，诚意出售..,钰龙天下二期 ,观沙岭,20,5187,1室1厅,38.56,北,精装,中楼层(共33层),2014年,板楼,https://cs.lianjia.com/ershoufang/104113662488.html
精装二房，位子安静，环境好，配套成熟,九龙领仕汇 ,岳麓其他,48,6312,2室2厅,76.05,南,精装,高楼层(共18层) ,,塔楼,https://cs.lianjia.com/ershoufang/104112700355.html
此房满五唯一，楼层视野好，依山傍水阳台视野无遮挡。,天元涉外景园 ,枫林三路,95,10246,3室1厅,92.72,北,其他,中楼层(共32层),2014年,塔楼,https://cs.lianjia.com/ershoufang/104112328995.html
地铁口 视 野 佳 开阔 诚心 出 金融 芯  全新盘,协信星澜汇 ,观沙岭,98,11314,3室2厅,86.62,南 北,精装,低楼层(共34层),2014年,板楼,https://cs.lianjia.com/ershoufang/104112963038.html
洋湖地铁口精装小三房家电齐全拎包入住,洋湖公馆二期 ,洋湖垸,98,12516,3室2厅,78.3,东南,精装,高楼层(共33层) ,,塔楼,https://cs.lianjia.com/ershoufang/104113676477.html
此房户型周正采光好，岳麓实小、西雅长梅旁,万科城市花园 ,梅溪湖北岸,78,10281,2室2厅,75.87,南,精装,中楼层(共24层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111248677.html
中间楼层 视野好 纯毛坯 业主证在手产权清晰,协信星澜汇 ,观沙岭,125,12627,3室2厅,99,南,毛坯,中楼层(共34层),2017年,板楼,https://cs.lianjia.com/ershoufang/104113099684.html
价格还能谈 牡丹舸 梅溪湖 能看百万园林  开发商精装,牡丹舸 ,梅溪湖北岸,490,25936,4室2厅,188.93,南,精装,低楼层(共43层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104111718487.html
天麓5期精装五房，点石装修拎包入住，满五唯一视野好,天麓尚层 ,雷锋大道,128,8971,5室2厅,142.69,东南,精装,中楼层(共34层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104112344175.html
天元涉外景园 三房两卫户型 业主诚心出售 不沿街,天元涉外景园 ,枫林三路,99.8,11225,3室2厅,88.91,南,精装,中楼层(共33层),2013年,塔楼,https://cs.lianjia.com/ershoufang/104112761953.html
梅溪湖弘德好莱城三房，精装，好楼层，读书近,弘德西街好莱城 ,梅溪湖北岸,99,11040,3室2厅,89.68,南,精装,中楼层(共33层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104113657881.html
麓谷小镇 3室1厅 南,麓谷小镇 ,麓谷西,66,7086,3室1厅,93.15,南,简装,高楼层(共32层),2017年,板楼,https://cs.lianjia.com/ershoufang/104113646036.html
清水毛坯 近地铁 师大滨江 配套成熟,香海西岸西区 ,滨江新城,125,10190,3室1厅,122.68,南,毛坯,中楼层(共12层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111373609.html
诚意出售，温馨三房，可看湖景，装修九成新，拎包入住,中建梅溪湖中心 ,梅溪湖北岸,142.8,16300,3室2厅,87.61,南,精装,高楼层(共39层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104112625621.html
中间楼层 双阳台 采光足 通风好 三房,中国铁建梅溪青秀一期 ,梅溪湖北岸,130,13033,3室2厅,99.75,东南,精装,高楼层(共34层) ,,塔楼,https://cs.lianjia.com/ershoufang/104111287670.html
朝南，看山看湖 采光视野好的毛坯四室,中建梅溪湖中心 ,梅溪湖北岸,288,17837,4室2厅,161.47,南,毛坯,高楼层(共39层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104113073400.html
万科物业，无浪费面积，不靠高架的,万科白鹭郡 ,洋湖垸,182,13969,4室2厅,130.29,南,精装,中楼层(共34层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104109613622.html
诚心出售.南北对流.视野开阔.满五唯一,新兴北京御园二期 ,市政府,176,13412,4室2厅,131.23,南,简装,低楼层(共33层) ,,板楼,https://cs.lianjia.com/ershoufang/104113658060.html
洋湖兰亭湾畔 诚心急售 精装三房 出入方便 中层,兰亭湾畔一期 ,洋湖垸,95,10366,3室2厅,91.65,南 北,简装,中楼层(共28层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104112479159.html
光明E城，福元西地铁，小区园林，人车分流,光明E城 ,观沙岭,144,11824,4室1厅,121.79,东南,精装,低楼层(共31层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113495217.html
万科复式小户型！带燃气入户朝南近地铁,万科金色梦想 ,东方红,64.6,8999,3室1厅,71.79,南,精装,低楼层(共22层),2019年,板塔结合,https://cs.lianjia.com/ershoufang/104111751783.html
次新小区，环境优美，居住舒适，户型周正,荣泰广场 ,河西人人乐,79,9288,3室2厅,85.06,南,毛坯,高楼层(共34层),2021年,板塔结合,https://cs.lianjia.com/ershoufang/104111836277.html
绿洲花园精装大3房，高楼层，视野开阔,绿洲花园 ,月湖,128,9402,3室2厅,136.15,南,精装,高楼层(共32层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104111939790.html
达江苑精装三房采光好北雅随时安排 产权在手随时过户,世纪城达江苑 ,湘江世纪城,109,11252,3室1厅,96.88,南,精装,高楼层(共28层),2008年,板塔结合,https://cs.lianjia.com/ershoufang/104112646937.html
房子满五唯一出价就谈南北向户型通透，边户楼层好,恒大雅苑 ,广电,120,9602,3室1厅,124.98,南,精装,中楼层(共15层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112700694.html
万科城旁边的小高层三居室 南北对流居家精装修随时住,英祥春天 ,福元西路,94.8,9952,3室2厅,95.26,南,精装,中楼层(共17层),2012年,板塔结合,https://cs.lianjia.com/ershoufang/104113595369.html
70年产权 近湘一 配套成熟 配套齐全,庄园心伽泊 ,福元西路,33,7134,1室1厅,46.26,南,其他,高楼层(共30层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104110357339.html
户型周正 好楼层 精装修 视野开阔 拎包入住,鑫利家园 ,月湖,65.8,8114,2室1厅,81.1,南,精装,中楼层(共34层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104113188681.html
全江景视野，自住装修，户型周正，全高档家电,香江锦城 ,伍家岭,115,13371,2室1厅,86.01,南,其他,中楼层(共33层),2012年,板塔结合,https://cs.lianjia.com/ershoufang/104112483043.html
此房楼层好，视野开阔，采光充足，配套成熟，交通便利,恒大御景半岛锦绣苑 ,湘江世纪城,110,11135,3室2厅,98.79,南,其他,低楼层(共39层) ,,塔楼,https://cs.lianjia.com/ershoufang/104111756829.html
2018年次新小区，价格美丽。,恒大雅苑 ,广电,63,9202,2室2厅,68.47,南,精装,低楼层(共33层),2017年,板塔结合,https://cs.lianjia.com/ershoufang/104113524941.html
带燃气的小户型，总价低 楼下就是地铁口 保养很好,星尚公寓 ,四方坪,45,6819,2室1厅,66,东 南,精装,低楼层(共33层),2011年,塔楼,https://cs.lianjia.com/ershoufang/104113569565.html
朝东南向 户型周正 客厅通阳台 视野开阔 近地铁,君悦香邸 ,北辰三角洲,76,10524,2室1厅,72.22,南,其他,高楼层(共30层),2007年,板塔结合,https://cs.lianjia.com/ershoufang/104112462988.html
朝南大两房，满五唯一，采光充足，次新小区，诚心卖,珠江郦城公园1号 ,福元西路,90.8,11122,2室2厅,81.64,南 北,精装,中楼层(共27层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104113165651.html
一线河景 省个税 听香水榭精装三房 带暖气,听香水榭 ,四方坪,95,10515,3室2厅,90.35,北,精装,高楼层(共32层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104112352038.html
30几万的品牌全新装修格力空调，全屋定制，环保艺术漆,万国城MOMA一期 ,福元西路,128,9863,3室2厅,129.79,南,精装,低楼层(共28层),2010年,板塔结合,https://cs.lianjia.com/ershoufang/104112598596.html
清水毛坯出售户型周正，可以看江 位置安静，看房方便,绿地海外滩一期 ,金霞,82,7001,4室2厅,117.13,南,其他,低楼层(共33层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104113289716.html
堤亚纳湾洋房区，1梯2户，户型好，采光好，总价低,堤亚纳湾洋房区 ,金霞,123,8863,4室2厅,138.78,南 北,毛坯,低楼层(共6层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104109985675.html
满五唯一中间楼层大两房，朝南户型清水毛坯，随意改造,钱隆世家 ,金霞,65,8195,2室2厅,79.32,南,毛坯,中楼层(共33层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104112617470.html
居家小三房，户型周正，楼层好。,山语城二期 ,金霞,82,9208,3室2厅,89.06,南,精装,低楼层(共18层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104113676534.html
地铁口 满五唯一  采光好  房东诚心出售,北辰三角洲C2区 ,北辰三角洲,149,14377,3室2厅,103.64,南,毛坯,高楼层(共55层),2019年,板塔结合,https://cs.lianjia.com/ershoufang/104111784786.html
珠江郦城，南北通透小三房，东边户，中间楼层,珠江郦城探香里 ,福元西路,92,10504,3室2厅,87.59,南 北,精装,中楼层(共18层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104111856356.html
正三号地铁口，配套齐全，房东急售,星尚公寓 ,四方坪,31,6674,1室1厅,46.45,南,精装,低楼层(共33层),2012年,塔楼,https://cs.lianjia.com/ershoufang/104106841169.html
二环内次新小区，南北通透四房，业主诚心随时看房,春和景园二期 ,福元西路,138,11331,4室2厅,121.8,南 北,毛坯,高楼层(共34层),2019年,板塔结合,https://cs.lianjia.com/ershoufang/104113021973.html
小高层，临地铁马厂一号线，拎包入住 。出行方便,万科城二期A区 ,福元西路,85,9551,3室1厅,89,东南,精装,低楼层(共17层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104113200724.html
山语城三期，中间楼栋楼层好，视野好，业主诚心出售,中国铁建山语城三期 ,金霞,85,7627,3室2厅,111.45,南,简装,低楼层(共34层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112103194.html
此房满五唯一，学去还在，带有车位，位置好,湘江北尚 ,北辰三角洲,162,11925,4室2厅,135.86,南,精装,中楼层(共18层),2007年,板楼,https://cs.lianjia.com/ershoufang/104113326104.html
马厂地铁口南北通透大三房，双阳台拎包入住！省个税,珠江花城三期 ,福元西路,115,9353,3室2厅,122.96,南 北,精装,中楼层(共30层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104112350188.html
地铁口香樟雅郡 大三房南北通透中间楼层 精装修,香樟雅郡 ,四方坪,116,8983,3室2厅,129.14,南 北,精装,中楼层(共18层),2008年,板楼,https://cs.lianjia.com/ershoufang/104111048712.html
江景三房，近地铁成熟商圈，中间楼层，业主诚心出售,北辰三角洲C2区 ,北辰三角洲,215,16980,3室2厅,126.62,北 南,精装,低楼层(共55层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104113346177.html
万科城四房，中间层、视野好户型周正，业主急售,万科城三期 ,福元西路,142.8,11672,4室1厅,122.35,西南,其他,中楼层(共34层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104113142376.html
三号线 四方坪 二环内 电梯房清水毛坯中高楼层采光好,怡然四方锦城 ,四方坪,65,9077,2室2厅,71.61,南,毛坯,高楼层(共18层),2012年,板楼,https://cs.lianjia.com/ershoufang/104113338810.html
急售 湘域中央 满五唯一 98两房 2号线袁家岭地铁口,湘域中央 ,火车站,96,12217,2室1厅,78.58,南,简装,中楼层(共33层),2006年,板塔结合,https://cs.lianjia.com/ershoufang/104110070228.html
满五年 房子户型周正，视野开阔，采光充足,颐美会现代城 ,浏城桥,63.8,7379,2室1厅,86.47,东北,精装,高楼层(共29层),2006年,塔楼,https://cs.lianjia.com/ershoufang/104112439447.html
芙蓉区，小区环境舒适，精装修舒适大四房，,嘉盛和园 ,汽车东站,142.8,8126,4室2厅,175.75,南,精装,低楼层(共18层),2006年,板楼,https://cs.lianjia.com/ershoufang/104113708600.html
火车站，锦泰广场地铁口，14年次新住宅写字楼，诚心卖,湘域相遇 ,火车站,33.6,6809,1室1厅,49.35,南,毛坯,高楼层(共29层),2016年,塔楼,https://cs.lianjia.com/ershoufang/104113658369.html
精装修三房带全套家电拎包入住恒大江湾,恒大江湾 ,汽车东站,103.2,9036,3室1厅,114.22,南,精装,32层,2016年,板塔结合,https://cs.lianjia.com/ershoufang/104113232293.html
火车站向韶村 单位房 分摊小 楼层好 独立院子,省地铁局宿舍 ,火车站,43.8,5848,2室1厅,74.9,南 北,简装,中楼层(共7层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104113289418.html
芙蓉区汇一城汽车东站星沙大道远大路三房出售,汇一城 ,汽车东站,86.8,7260,3室2厅,119.56,南 北,简装,低楼层(共24层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104112787978.html
芙蓉区品质楼盘 万科物业 近地铁和浏阳河,万科金域蓝湾 ,晚报,98,10882,3室2厅,90.06,南,精装,低楼层(共33层),2008年,板塔结合,https://cs.lianjia.com/ershoufang/104112316928.html
马王堆南北通透正规两房，房东诚心出售急卖,长沙市邮政局宿舍J区 ,马王堆,32,4558,2室1厅,70.22,南 北,简装,高楼层(共7层),1989年,板楼,https://cs.lianjia.com/ershoufang/104112933917.html
马王堆 邮政宿舍J区 两室两厅,长沙市邮政局宿舍J区 ,马王堆,34.8,4987,2室2厅,69.79,南 北,其他,高楼层(共7层),1989年,板楼,https://cs.lianjia.com/ershoufang/104111386729.html
万家丽广场纯板楼封闭式小区 南北通透 温馨舒适,旭日东升 ,马王堆,69.8,7940,2室2厅,87.92,南 北,精装,中楼层(共25层),2007年,板塔结合,https://cs.lianjia.com/ershoufang/104111946702.html
